ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0060323	GO:0060323	head morphogenesis	4/294	35/17913	0.00249336574761177	0.0375342086965729	0.0332043222466711	NOG/PLEKHA1/SSBP3/FLVCR1	4
GO:0032740	GO:0032740	positive regulation of interleukin-17 production	3/294	17/17913	0.00250906182795519	0.0375342086965729	0.0332043222466711	PRKCQ/SLAMF6/LY9	3
GO:0043373	GO:0043373	CD4-positive, alpha-beta T cell lineage commitment	3/294	17/17913	0.00250906182795519	0.0375342086965729	0.0332043222466711	SLAMF6/LY9/TBX21	3
GO:1903975	GO:1903975	regulation of glial cell migration	3/294	17/17913	0.00250906182795519	0.0375342086965729	0.0332043222466711	TIAM1/GPR183/CX3CR1	3
GO:0001776	GO:0001776	leukocyte homeostasis	6/294	84/17913	0.00258683282567559	0.0383521063128064	0.0339278684984049	LAT/CD74/GPR183/DOCK10/SIT1/PDE4B	6
GO:0071621	GO:0071621	granulocyte chemotaxis	6/294	84/17913	0.00258683282567559	0.0383521063128064	0.0339278684984049	CD74/XCL1/CCR7/CCL5/PDE4B/CXCL8	6
GO:0045088	GO:0045088	regulation of innate immune response	16/294	440/17913	0.00260868568921633	0.038504200772833	0.0340624175841065	SLAMF6/SH2D1B/FCRL3/NLRC3/TXK/FYN/CD96/RASGRP1/RNF125/PRKACB/CD160/CCL5/PYHIN1/ICAM2/RPS6KA5/HSP90AB1	16
GO:2000516	GO:2000516	positive regulation of CD4-positive, alpha-beta T cell activation	4/294	36/17913	0.0027692912344012	0.0406938769444531	0.0359994962050012	PRKCQ/CD81/XCL1/CD160	4
GO:0030593	GO:0030593	neutrophil chemotaxis	5/294	60/17913	0.0030087177398569	0.0440174079914747	0.0389396300113174	CD74/XCL1/CCR7/PDE4B/CXCL8	5
GO:0034113	GO:0034113	heterotypic cell-cell adhesion	5/294	61/17913	0.00323418533469381	0.047108462704027	0.0416741055823196	LCK/SKAP1/ITGB7/CD2/ITGA4	5
GO:0002707	GO:0002707	negative regulation of lymphocyte mediated immunity	4/294	38/17913	0.0033824454597571	0.0488137322669244	0.0431826579682676	TBX21/CD96/IL7R/XCL1	4
GO:0007520	GO:0007520	myoblast fusion	4/294	38/17913	0.0033824454597571	0.0488137322669244	0.0431826579682676	NFATC2/FLT3LG/CD81/PLEKHO1	4
GO:0030099	GO:0030099	myeloid cell differentiation	15/294	411/17913	0.00339535445759095	0.0488137322669244	0.0431826579682676	GATA3/PRKCQ/ETS1/PRKX/LEF1/CD81/CAMK4/PARP1/TGFBR3/CD74/GPR183/CCR7/GPR171/CSF1R/FLVCR1	15
GO:0002313	GO:0002313	mature B cell differentiation involved in immune response	3/294	19/17913	0.00348979604622241	0.0493175007212963	0.0436283124972307	LFNG/GPR183/DOCK10	3
GO:0002363	GO:0002363	alpha-beta T cell lineage commitment	3/294	19/17913	0.00348979604622241	0.0493175007212963	0.0436283124972307	SLAMF6/LY9/TBX21	3
GO:0002710	GO:0002710	negative regulation of T cell mediated immunity	3/294	19/17913	0.00348979604622241	0.0493175007212963	0.0436283124972307	TBX21/IL7R/XCL1	3
GO:0002726	GO:0002726	positive regulation of T cell cytokine production	3/294	19/17913	0.00348979604622241	0.0493175007212963	0.0436283124972307	GATA3/CD81/XCL1	3
