ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
GO:0050718	GO:0050718	positive regulation of interleukin-1 beta secretion	3/158	29/17913	0.00207899227295095	0.0262280749311694	0.0211079433260978	AIM2/ORM1/LILRA5	3	geneontology_Biological_Process	0.0189873417721519
GO:1904467	GO:1904467	regulation of tumor necrosis factor secretion	3/158	29/17913	0.00207899227295095	0.0262280749311694	0.0211079433260978	MMP8/ORM1/LILRA5	3	geneontology_Biological_Process	0.0189873417721519
GO:0043405	GO:0043405	regulation of MAP kinase activity	9/158	322/17913	0.00226704669921862	0.0284603264544063	0.0229044243398868	ADAM9/S100A12/JAK2/GADD45A/CD24/IRAK3/MAPK14/MAP2K6/MAP3K20	9	geneontology_Biological_Process	0.0569620253164557
GO:0061082	GO:0061082	myeloid leukocyte cytokine production	3/158	30/17913	0.00229515370330636	0.0285272887435084	0.0229583145398752	BCL6/FCER1G/IRAK3	3	geneontology_Biological_Process	0.0189873417721519
GO:0090022	GO:0090022	regulation of neutrophil chemotaxis	3/158	30/17913	0.00229515370330636	0.0285272887435084	0.0229583145398752	BST1/DYSF/C3AR1	3	geneontology_Biological_Process	0.0189873417721519
GO:1990845	GO:1990845	adaptive thermogenesis	6/158	152/17913	0.00230579803588686	0.0285272887435084	0.0229583145398752	ACSL1/IL18/LCN2/JAK2/MAP2K6/IL18R1	6	geneontology_Biological_Process	0.0379746835443038
GO:0071346	GO:0071346	cellular response to interferon-gamma	6/158	153/17913	0.00238276423999584	0.0293377847049487	0.0236105889772867	FCGR1A/FCGR1B/ARG1/JAK2/CD58/IFNGR1	6	geneontology_Biological_Process	0.0379746835443038
GO:0030098	GO:0030098	lymphocyte differentiation	9/158	325/17913	0.00241271181947886	0.0295643778453846	0.0237929475826725	ADGRG3/IL18/VNN1/ANXA1/CLEC4D/BCL6/CR1/CLEC4E/IL18R1	9	geneontology_Biological_Process	0.0569620253164557
GO:1990748	GO:1990748	cellular detoxification	5/158	107/17913	0.00258638508858758	0.031541581961299	0.0253841704433808	S100A9/TXN/HP/GSR/MGST1	5	geneontology_Biological_Process	0.0316455696202532
GO:0070207	GO:0070207	protein homotrimerization	3/158	32/17913	0.00276804870200228	0.0332815620930884	0.0267844791624436	LCN2/ARG1/MGST1	3	geneontology_Biological_Process	0.0189873417721519
GO:0071709	GO:0071709	membrane assembly	3/158	32/17913	0.00276804870200228	0.0332815620930884	0.0267844791624436	UGCG/FLOT2/FLOT1	3	geneontology_Biological_Process	0.0189873417721519
GO:1990774	GO:1990774	tumor necrosis factor secretion	3/158	32/17913	0.00276804870200228	0.0332815620930884	0.0267844791624436	MMP8/ORM1/LILRA5	3	geneontology_Biological_Process	0.0189873417721519
GO:0002285	GO:0002285	lymphocyte activation involved in immune response	6/158	158/17913	0.00279698719743558	0.0334723561337968	0.0269380272138655	IL18/ANXA1/CLEC4D/BCL6/CLEC4E/IL18R1	6	geneontology_Biological_Process	0.0379746835443038
GO:0031667	GO:0031667	response to nutrient levels	11/158	466/17913	0.0028697041074239	0.0341828475307563	0.0275098195463206	ACSL1/ACSL4/POR/SH3GLB1/ADM/ALPL/CPEB4/LCN2/ARG1/TSPO/WIPI1	11	geneontology_Biological_Process	0.069620253164557
GO:1903039	GO:1903039	positive regulation of leukocyte cell-cell adhesion	7/158	214/17913	0.00293504239067353	0.0347992757523838	0.0280059113106178	IL18/VNN1/ANXA1/FLOT2/BCL6/CD55/CD24	7	geneontology_Biological_Process	0.0443037974683544
GO:0051249	GO:0051249	regulation of lymphocyte activation	10/158	401/17913	0.00300121471248998	0.0354198658004002	0.0285053524475158	IL18/VNN1/ANXA1/FLOT2/ARG1/BCL6/CR1/CD55/CD24/SAMSN1	10	geneontology_Biological_Process	0.0632911392405063
GO:0071674	GO:0071674	mononuclear cell migration	4/158	68/17913	0.00306181328849428	0.0359692836322654	0.0289475153011676	ANXA1/S100A12/C3AR1/MAPK14	4	geneontology_Biological_Process	0.0253164556962025
GO:0032720	GO:0032720	negative regulation of tumor necrosis factor production	4/158	69/17913	0.00322824273383645	0.0377512769011651	0.0303816355340148	BPI/TSPO/IRAK3/ORM1	4	geneontology_Biological_Process	0.0253164556962025
GO:0002695	GO:0002695	negative regulation of leukocyte activation	6/158	163/17913	0.0032629839050371	0.0378007423325817	0.0304214445373703	ANXA1/ARG1/BCL6/BPI/SAMSN1/CST7	6	geneontology_Biological_Process	0.0379746835443038
GO:0098754	GO:0098754	detoxification	5/158	113/17913	0.00327420909244428	0.0378007423325817	0.0304214445373703	S100A9/TXN/HP/GSR/MGST1	5	geneontology_Biological_Process	0.0316455696202532
GO:0002713	GO:0002713	negative regulation of B cell mediated immunity	2/158	10/17913	0.00332103359032834	0.0378007423325817	0.0304214445373703	BCL6/CR1	2	geneontology_Biological_Process	0.0126582278481013
GO:0002890	GO:0002890	negative regulation of immunoglobulin mediated immune response	2/158	10/17913	0.00332103359032834	0.0378007423325817	0.0304214445373703	BCL6/CR1	2	geneontology_Biological_Process	0.0126582278481013
GO:0046512	GO:0046512	sphingosine biosynthetic process	2/158	10/17913	0.00332103359032834	0.0378007423325817	0.0304214445373703	ACER3/SPTLC2	2	geneontology_Biological_Process	0.0126582278481013
GO:0097278	GO:0097278	complement-dependent cytotoxicity	2/158	10/17913	0.00332103359032834	0.0378007423325817	0.0304214445373703	CD59/CD55	2	geneontology_Biological_Process	0.0126582278481013
GO:0043900	GO:0043900	regulation of multi-organism process	10/158	408/17913	0.00339354034891958	0.0384551187326683	0.0309480764004869	PGLYRP1/AIM2/TIMP1/LTF/SLPI/ARG1/CD55/STOM/PTX3/SRPK1	10	geneontology_Biological_Process	0.0632911392405063
GO:0034614	GO:0034614	cellular response to reactive oxygen species	6/158	165/17913	0.00346473918125162	0.039088973758526	0.0314581929834949	MMP9/TXN/LCN2/ARG1/IL18RAP/NME8	6	geneontology_Biological_Process	0.0379746835443038
GO:0071900	GO:0071900	regulation of protein serine/threonine kinase activity	11/158	479/17913	0.00353531208499249	0.0392299488231211	0.0315716475043347	ACSL1/ADAM9/LTF/S100A12/JAK2/GADD45A/CD24/IRAK3/MAPK14/MAP2K6/MAP3K20	11	geneontology_Biological_Process	0.069620253164557
GO:0030099	GO:0030099	myeloid cell differentiation	10/158	411/17913	0.00357371307140473	0.0392299488231211	0.0315716475043347	MMP9/LTF/JAK2/H4C6/BCL6/FCER1G/OSCAR/TSPAN2/MAPK14/HMGB2	10	geneontology_Biological_Process	0.0632911392405063
GO:0034121	GO:0034121	regulation of toll-like receptor signaling pathway	4/158	71/17913	0.00357939644791684	0.0392299488231211	0.0315716475043347	TLR5/LTF/FLOT1/IRAK3	4	geneontology_Biological_Process	0.0253164556962025
GO:0002701	GO:0002701	negative regulation of production of molecular mediator of immune response	3/158	35/17913	0.00358277819812835	0.0392299488231211	0.0315716475043347	ARG1/BCL6/IRAK3	3	geneontology_Biological_Process	0.0189873417721519
GO:0045622	GO:0045622	regulation of T-helper cell differentiation	3/158	35/17913	0.00358277819812835	0.0392299488231211	0.0315716475043347	IL18/ANXA1/BCL6	3	geneontology_Biological_Process	0.0189873417721519
GO:0050716	GO:0050716	positive regulation of interleukin-1 secretion	3/158	35/17913	0.00358277819812835	0.0392299488231211	0.0315716475043347	AIM2/ORM1/LILRA5	3	geneontology_Biological_Process	0.0189873417721519
GO:0051260	GO:0051260	protein homooligomerization	9/158	345/17913	0.00358446232901614	0.0392299488231211	0.0315716475043347	NLRC4/LCN2/ARG1/BIK/OLFM4/FCER1G/FLOT1/STOM/MGST1	9	geneontology_Biological_Process	0.0569620253164557
GO:0006073	GO:0006073	cellular glucan metabolic process	4/158	72/17913	0.00376432936223182	0.0406769936568595	0.0327362064901173	GYG1/PYGL/PPP1R3D/MGAM	4	geneontology_Biological_Process	0.0253164556962025
GO:0032677	GO:0032677	regulation of interleukin-8 production	4/158	72/17913	0.00376432936223182	0.0406769936568595	0.0327362064901173	TLR5/ANXA1/BPI/CD58	4	geneontology_Biological_Process	0.0253164556962025
GO:0044042	GO:0044042	glucan metabolic process	4/158	72/17913	0.00376432936223182	0.0406769936568595	0.0327362064901173	GYG1/PYGL/PPP1R3D/MGAM	4	geneontology_Biological_Process	0.0253164556962025
GO:2000516	GO:2000516	positive regulation of CD4-positive, alpha-beta T cell activation	3/158	36/17913	0.00388344269657582	0.0417878014534902	0.0336301671822001	IL18/ANXA1/CD55	3	geneontology_Biological_Process	0.0189873417721519
GO:0001959	GO:0001959	regulation of cytokine-mediated signaling pathway	6/158	170/17913	0.00400969166984661	0.0423572891262628	0.0340884819290255	IL1R1/ARG1/JAK2/CD24/IRAK3/IFNGR1	6	geneontology_Biological_Process	0.0379746835443038
GO:0009437	GO:0009437	carnitine metabolic process	2/158	11/17913	0.00403560271253734	0.0423572891262628	0.0340884819290255	POR/SLC22A4	2	geneontology_Biological_Process	0.0126582278481013
GO:0046520	GO:0046520	sphingoid biosynthetic process	2/158	11/17913	0.00403560271253734	0.0423572891262628	0.0340884819290255	ACER3/SPTLC2	2	geneontology_Biological_Process	0.0126582278481013
GO:0046886	GO:0046886	positive regulation of hormone biosynthetic process	2/158	11/17913	0.00403560271253734	0.0423572891262628	0.0340884819290255	POR/ADM	2	geneontology_Biological_Process	0.0126582278481013
GO:0072610	GO:0072610	interleukin-12 secretion	2/158	11/17913	0.00403560271253734	0.0423572891262628	0.0340884819290255	MAPK14/LILRA5	2	geneontology_Biological_Process	0.0126582278481013
GO:0072672	GO:0072672	neutrophil extravasation	2/158	11/17913	0.00403560271253734	0.0423572891262628	0.0340884819290255	IL1R1/CD177	2	geneontology_Biological_Process	0.0126582278481013
GO:0043367	GO:0043367	CD4-positive, alpha-beta T cell differentiation	4/158	74/17913	0.00415342160118037	0.0431876459444161	0.0347567400724087	IL18/ANXA1/BCL6/IL18R1	4	geneontology_Biological_Process	0.0253164556962025
GO:0008207	GO:0008207	C21-steroid hormone metabolic process	3/158	37/17913	0.00419903312774682	0.0431876459444161	0.0347567400724087	ADM/TSPO/DHRS9	3	geneontology_Biological_Process	0.0189873417721519
GO:0030574	GO:0030574	collagen catabolic process	3/158	37/17913	0.00419903312774682	0.0431876459444161	0.0347567400724087	MMP9/CTSD/MMP8	3	geneontology_Biological_Process	0.0189873417721519
GO:0044091	GO:0044091	membrane biogenesis	3/158	37/17913	0.00419903312774682	0.0431876459444161	0.0347567400724087	UGCG/FLOT2/FLOT1	3	geneontology_Biological_Process	0.0189873417721519
GO:0046006	GO:0046006	regulation of activated T cell proliferation	3/158	37/17913	0.00419903312774682	0.0431876459444161	0.0347567400724087	IL18/ARG1/CD24	3	geneontology_Biological_Process	0.0189873417721519
GO:0051101	GO:0051101	regulation of DNA binding	5/158	120/17913	0.00423280042700071	0.0433079850059069	0.0348535870616189	MMP9/TXN/MMP8/JAK2/HMGB2	5	geneontology_Biological_Process	0.0316455696202532
GO:0001659	GO:0001659	temperature homeostasis	6/158	172/17913	0.00424455456324976	0.0433079850059069	0.0348535870616189	ACSL1/IL18/LCN2/JAK2/MAP2K6/IL18R1	6	geneontology_Biological_Process	0.0379746835443038
GO:0034341	GO:0034341	response to interferon-gamma	6/158	173/17913	0.00436572899167193	0.0443675870939358	0.0357063382025633	FCGR1A/FCGR1B/ARG1/JAK2/CD58/IFNGR1	6	geneontology_Biological_Process	0.0379746835443038
GO:0002707	GO:0002707	negative regulation of lymphocyte mediated immunity	3/158	38/17913	0.00452976449484542	0.0455953006648552	0.036694382828166	ARG1/BCL6/CR1	3	geneontology_Biological_Process	0.0189873417721519
GO:0002711	GO:0002711	positive regulation of T cell mediated immunity	3/158	38/17913	0.00452976449484542	0.0455953006648552	0.036694382828166	IL18/IL1R1/IL18R1	3	geneontology_Biological_Process	0.0189873417721519
GO:1903409	GO:1903409	reactive oxygen species biosynthetic process	5/158	122/17913	0.00453994598576262	0.0455953006648552	0.036694382828166	MMP8/JAK2/DDAH2/TSPO/PTX3	5	geneontology_Biological_Process	0.0316455696202532
GO:0150076	GO:0150076	neuroinflammatory response	4/158	76/17913	0.0045688228414466	0.0457060753786904	0.0367835325803966	MMP9/IL18/MMP8/CST7	4	geneontology_Biological_Process	0.0253164556962025
GO:1903037	GO:1903037	regulation of leukocyte cell-cell adhesion	8/158	295/17913	0.00471979890380484	0.0463558255894598	0.0373064413589109	IL18/VNN1/ANXA1/FLOT2/ARG1/BCL6/CD55/CD24	8	geneontology_Biological_Process	0.0506329113924051
GO:0009991	GO:0009991	response to extracellular stimulus	11/158	498/17913	0.00472562380046852	0.0463558255894598	0.0373064413589109	ACSL1/ACSL4/POR/SH3GLB1/ADM/ALPL/CPEB4/LCN2/ARG1/TSPO/WIPI1	11	geneontology_Biological_Process	0.069620253164557
GO:0051851	GO:0051851	modification by host of symbiont morphology or physiology	4/158	77/17913	0.00478663800107113	0.0463558255894598	0.0373064413589109	LTF/ARG1/STOM/PTX3	4	geneontology_Biological_Process	0.0253164556962025
GO:0001765	GO:0001765	membrane raft assembly	2/158	12/17913	0.00481477922951827	0.0463558255894598	0.0373064413589109	FLOT2/FLOT1	2	geneontology_Biological_Process	0.0126582278481013
GO:0006670	GO:0006670	sphingosine metabolic process	2/158	12/17913	0.00481477922951827	0.0463558255894598	0.0373064413589109	ACER3/SPTLC2	2	geneontology_Biological_Process	0.0126582278481013
GO:0016045	GO:0016045	detection of bacterium	2/158	12/17913	0.00481477922951827	0.0463558255894598	0.0373064413589109	PGLYRP1/NLRC4	2	geneontology_Biological_Process	0.0126582278481013
GO:0044793	GO:0044793	negative regulation by host of viral process	2/158	12/17913	0.00481477922951827	0.0463558255894598	0.0373064413589109	LTF/PTX3	2	geneontology_Biological_Process	0.0126582278481013
GO:0051238	GO:0051238	sequestering of metal ion	2/158	12/17913	0.00481477922951827	0.0463558255894598	0.0373064413589109	S100A9/LCN2	2	geneontology_Biological_Process	0.0126582278481013
GO:0051549	GO:0051549	positive regulation of keratinocyte migration	2/158	12/17913	0.00481477922951827	0.0463558255894598	0.0373064413589109	ADAM9/MMP9	2	geneontology_Biological_Process	0.0126582278481013
GO:0051712	GO:0051712	positive regulation of killing of cells of other organism	2/158	12/17913	0.00481477922951827	0.0463558255894598	0.0373064413589109	PGLYRP1/ARG1	2	geneontology_Biological_Process	0.0126582278481013
GO:0019432	GO:0019432	triglyceride biosynthetic process	3/158	39/17913	0.00487584261970868	0.0465934065263953	0.0374976427705797	ACSL1/GPAT3/ACSL4	3	geneontology_Biological_Process	0.0189873417721519
GO:0044275	GO:0044275	cellular carbohydrate catabolic process	3/158	39/17913	0.00487584261970868	0.0465934065263953	0.0374976427705797	PYGL/PPP1R3D/MGAM	3	geneontology_Biological_Process	0.0189873417721519
GO:0022617	GO:0022617	extracellular matrix disassembly	4/158	78/17913	0.0050113265972	0.0477100647413725	0.038396311787586	MMP9/TIMP1/MMP8/FLOT1	4	geneontology_Biological_Process	0.0253164556962025
GO:0050671	GO:0050671	positive regulation of lymphocyte proliferation	5/158	125/17913	0.00502995692211824	0.0477100728797956	0.0383963183372613	IL18/ANXA1/BCL6/CD55/CD24	5	geneontology_Biological_Process	0.0316455696202532
GO:0032946	GO:0032946	positive regulation of mononuclear cell proliferation	5/158	126/17913	0.0052013133571547	0.0491533708770228	0.0395578619277875	IL18/ANXA1/BCL6/CD55/CD24	5	geneontology_Biological_Process	0.0316455696202532
GO:0002823	GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	3/158	40/17913	0.00523746432220217	0.0493130372395579	0.0396863589120427	ARG1/BCL6/CR1	3	geneontology_Biological_Process	0.0189873417721519
GO:0042581	GO:0042581	specific granule	32/158	160/18678	3.32928409934831e-35	8.48967445333819e-33	6.41325252821832e-33	ADGRG3/PGLYRP1/MCEMP1/FCAR/BST1/CD177/LTF/CTSD/ANXA3/SLPI/CLEC4D/LCN2/ARG1/MMP8/CEACAM8/HP/BPI/OLFM4/CRISP3/C3AR1/OSCAR/GPR84/CD59/SLC2A3/FOLR3/TCN1/CKAP4/QPCT/STOM/PTX3/ORM1/LRG1	32	geneontology_Cellular_Component	0.20253164556962
GO:0070820	GO:0070820	tertiary granule	32/158	164/18678	7.7957135890987e-35	9.93953482610084e-33	7.50850308844769e-33	MMP9/PGLYRP1/MCEMP1/FCAR/CD177/LTF/CTSD/CLEC4D/MMP8/CEACAM8/HP/CR1/OLFM4/CRISP3/FCER1G/OSCAR/GPR84/CD59/CD55/SIGLEC5/CD58/SLC2A3/FOLR3/TCN1/CYSTM1/TNFAIP6/QPCT/STOM/PTX3/MGAM/ORM1/LRG1	32	geneontology_Cellular_Component	0.20253164556962
GO:0035580	GO:0035580	specific granule lumen	18/158	62/18678	2.44905631707847e-23	2.0816978695167e-21	1.57255195096617e-21	PGLYRP1/LTF/CTSD/SLPI/LCN2/ARG1/MMP8/HP/BPI/OLFM4/CRISP3/OSCAR/FOLR3/TCN1/QPCT/PTX3/ORM1/LRG1	18	geneontology_Cellular_Component	0.113924050632911
GO:0034774	GO:0034774	secretory granule lumen	30/158	321/18678	7.38310646794983e-23	4.70673037331802e-21	3.55554864114426e-21	PGLYRP1/TIMP1/LTF/CTSD/S100A12/S100A9/SERPINB1/GCA/SLPI/LCN2/ARG1/MMP8/HP/BPI/OLFM4/CRISP3/OSCAR/F5/FOLR3/TCN1/QPCT/RNASE2/HK3/MAPK14/PTX3/GYG1/PYGL/ORM1/LRG1/S100P	30	geneontology_Cellular_Component	0.189873417721519
GO:0060205	GO:0060205	cytoplasmic vesicle lumen	30/158	338/18678	3.32824553116489e-22	1.54138376614064e-20	1.16438897504122e-20	PGLYRP1/TIMP1/LTF/CTSD/S100A12/S100A9/SERPINB1/GCA/SLPI/LCN2/ARG1/MMP8/HP/BPI/OLFM4/CRISP3/OSCAR/F5/FOLR3/TCN1/QPCT/RNASE2/HK3/MAPK14/PTX3/GYG1/PYGL/ORM1/LRG1/S100P	30	geneontology_Cellular_Component	0.189873417721519
GO:0031983	GO:0031983	vesicle lumen	30/158	339/18678	3.62678533209561e-22	1.54138376614064e-20	1.16438897504122e-20	PGLYRP1/TIMP1/LTF/CTSD/S100A12/S100A9/SERPINB1/GCA/SLPI/LCN2/ARG1/MMP8/HP/BPI/OLFM4/CRISP3/OSCAR/F5/FOLR3/TCN1/QPCT/RNASE2/HK3/MAPK14/PTX3/GYG1/PYGL/ORM1/LRG1/S100P	30	geneontology_Cellular_Component	0.189873417721519
GO:1904724	GO:1904724	tertiary granule lumen	16/158	55/18678	7.0877862404714e-21	2.58197927331458e-19	1.95047350677634e-19	MMP9/PGLYRP1/LTF/CTSD/MMP8/HP/OLFM4/CRISP3/OSCAR/FOLR3/TCN1/TNFAIP6/QPCT/PTX3/ORM1/LRG1	16	geneontology_Cellular_Component	0.10126582278481
GO:0030667	GO:0030667	secretory granule membrane	26/158	293/18678	2.57976553238541e-19	8.22300263447848e-18	6.21180384771749e-18	ADGRG3/MCEMP1/FCAR/BST1/VNN1/CD177/FLOT2/CD63/CLEC4D/CEACAM8/CR1/C3AR1/FCER1G/SIGLEC9/GPR84/CD59/CD55/CA4/SIGLEC5/CD58/SLC2A3/CKAP4/CYSTM1/STOM/MGST1/MGAM	26	geneontology_Cellular_Component	0.164556962025316
GO:0101002	GO:0101002	ficolin-1-rich granule	18/158	185/18678	2.35219256383644e-14	6.66454559753659e-13	5.03451741733414e-13	MMP9/FCAR/CTSD/CLEC4D/CR1/FCER1G/CD55/SIGLEC5/CD58/SLC2A3/TNFAIP6/QPCT/HK3/MAPK14/GYG1/PYGL/MGAM/LRG1	18	geneontology_Cellular_Component	0.113924050632911
GO:0070821	GO:0070821	tertiary granule membrane	13/158	73/18678	3.83635409719317e-14	9.78270294784258e-13	7.39002947143526e-13	MCEMP1/FCAR/CD177/CLEC4D/CEACAM8/FCER1G/GPR84/CD59/SIGLEC5/SLC2A3/CYSTM1/STOM/MGAM	13	geneontology_Cellular_Component	0.0822784810126582
GO:0035579	GO:0035579	specific granule membrane	13/158	91/18678	7.48343824776723e-13	1.73479704834604e-11	1.31049684147503e-11	ADGRG3/MCEMP1/FCAR/BST1/CD177/CLEC4D/CEACAM8/C3AR1/GPR84/CD59/SLC2A3/CKAP4/STOM	13	geneontology_Cellular_Component	0.0822784810126582
GO:0101003	GO:0101003	ficolin-1-rich granule membrane	9/158	61/18678	2.10087586494738e-09	4.46436121301319e-08	3.37245862531027e-08	FCAR/CLEC4D/CR1/FCER1G/CD55/SIGLEC5/CD58/SLC2A3/MGAM	9	geneontology_Cellular_Component	0.0569620253164557
GO:0005766	GO:0005766	primary lysosome	11/158	155/18678	8.49330659380034e-08	1.54699512958506e-06	1.16862789974847e-06	VNN1/CD63/GCA/ARG1/CEACAM8/BPI/C3AR1/CKAP4/STOM/RNASE2/MGST1	11	geneontology_Cellular_Component	0.069620253164557
GO:0042582	GO:0042582	azurophil granule	11/158	155/18678	8.49330659380034e-08	1.54699512958506e-06	1.16862789974847e-06	VNN1/CD63/GCA/ARG1/CEACAM8/BPI/C3AR1/CKAP4/STOM/RNASE2/MGST1	11	geneontology_Cellular_Component	0.069620253164557
GO:0035577	GO:0035577	azurophil granule membrane	7/158	58/18678	5.67957182617771e-07	9.65527210450211e-06	7.29376592414401e-06	VNN1/CD63/CEACAM8/C3AR1/CKAP4/STOM/MGST1	7	geneontology_Cellular_Component	0.0443037974683544
GO:0031225	GO:0031225	anchored component of membrane	10/158	156/18678	8.58036510337404e-07	1.36749568835024e-05	1.0330307986299e-05	ALPL/BST1/VNN2/VNN1/CD177/FLOT2/CEACAM8/CD59/CD55/CA4	10	geneontology_Cellular_Component	0.0632911392405063
GO:1904813	GO:1904813	ficolin-1-rich granule lumen	9/158	124/18678	1.09269591474902e-06	1.63904387212352e-05	1.23816317274966e-05	MMP9/CTSD/TNFAIP6/QPCT/HK3/MAPK14/GYG1/PYGL/LRG1	9	geneontology_Cellular_Component	0.0569620253164557
GO:0005774	GO:0005774	vacuolar membrane	14/158	382/18678	4.7092483549768e-06	6.67143516955047e-05	5.0397219237471e-05	SH3GLB1/VNN1/CTSD/CD63/CEACAM8/C3AR1/FLOT1/CKAP4/SORT1/DRAM1/WIPI1/STOM/MGST1/WDFY3	14	geneontology_Cellular_Component	0.0886075949367089
GO:0001931	GO:0001931	uropod	3/158	13/18678	0.00015960747611354	0.00197172940379122	0.0014894797972912	BST1/FLOT2/FLOT1	3	geneontology_Cellular_Component	0.0189873417721519
GO:0031254	GO:0031254	cell trailing edge	3/158	13/18678	0.00015960747611354	0.00197172940379122	0.0014894797972912	BST1/FLOT2/FLOT1	3	geneontology_Cellular_Component	0.0189873417721519
GO:0005765	GO:0005765	lysosomal membrane	11/158	344/18678	0.000170535671239018	0.00197172940379122	0.0014894797972912	VNN1/CTSD/CD63/CEACAM8/C3AR1/FLOT1/CKAP4/SORT1/DRAM1/STOM/MGST1	11	geneontology_Cellular_Component	0.069620253164557
GO:0098852	GO:0098852	lytic vacuole membrane	11/158	344/18678	0.000170535671239018	0.00197172940379122	0.0014894797972912	VNN1/CTSD/CD63/CEACAM8/C3AR1/FLOT1/CKAP4/SORT1/DRAM1/STOM/MGST1	11	geneontology_Cellular_Component	0.069620253164557
GO:0031012	GO:0031012	extracellular matrix	13/158	468/18678	0.000177842259949797	0.00197172940379122	0.0014894797972912	MMP9/COL17A1/ALPL/ANXA1/TIMP1/CTSD/S100A9/SERPINB1/SLPI/MMP8/CRISP3/PTX3/ORM1	13	geneontology_Cellular_Component	0.0822784810126582
GO:0000786	GO:0000786	nucleosome	6/158	106/18678	0.000283184275628951	0.00300883292855761	0.00227292642281132	H4C6/H2AC18/H2BC5/H2AC7/H2BS1/H2BC9	6	geneontology_Cellular_Component	0.0379746835443038
GO:0098857	GO:0098857	membrane microdomain	10/158	310/18678	0.000315176838228668	0.00321480374993241	0.0024285204798251	CD177/CTSD/FLOT2/DYSF/JAK2/LTB4R/CD55/CD24/FLOT1/STOM	10	geneontology_Cellular_Component	0.0632911392405063
GO:0044815	GO:0044815	DNA packaging complex	6/158	113/18678	0.000399579237527954	0.00391805124836509	0.00295976626811481	H4C6/H2AC18/H2BC5/H2AC7/H2BS1/H2BC9	6	geneontology_Cellular_Component	0.0379746835443038
GO:0098589	GO:0098589	membrane region	10/158	321/18678	0.00041485248512101	0.00391805124836509	0.00295976626811481	CD177/CTSD/FLOT2/DYSF/JAK2/LTB4R/CD55/CD24/FLOT1/STOM	10	geneontology_Cellular_Component	0.0632911392405063
GO:0031233	GO:0031233	intrinsic component of external side of plasma membrane	3/158	19/18678	0.000520975037609576	0.00474459409251578	0.00358415157453205	ADAM9/CD59/CA4	3	geneontology_Cellular_Component	0.0189873417721519
GO:0071682	GO:0071682	endocytic vesicle lumen	3/158	20/18678	0.000609119681790953	0.00535605237436872	0.00404605814039	PGLYRP1/LTF/HP	3	geneontology_Cellular_Component	0.0189873417721519
GO:0045121	GO:0045121	membrane raft	9/158	309/18678	0.00128960955400259	0.010961681209022	0.00828065082043768	CD177/CTSD/FLOT2/JAK2/LTB4R/CD55/CD24/FLOT1/STOM	9	geneontology_Cellular_Component	0.0569620253164557
GO:0005778	GO:0005778	peroxisomal membrane	4/158	58/18678	0.00146632421592294	0.0116847710956359	0.00882688590506242	ACSL1/PECR/ACSL4/MGST1	4	geneontology_Cellular_Component	0.0253164556962025
GO:0031903	GO:0031903	microbody membrane	4/158	58/18678	0.00146632421592294	0.0116847710956359	0.00882688590506242	ACSL1/PECR/ACSL4/MGST1	4	geneontology_Cellular_Component	0.0253164556962025
GO:0009897	GO:0009897	external side of plasma membrane	7/158	199/18678	0.00154394174288355	0.011930458922282	0.00901248290104274	ADAM9/IL1R1/ANXA1/CD59/CA4/FLOT1/GSR	7	geneontology_Cellular_Component	0.0443037974683544
GO:0042470	GO:0042470	melanosome	5/158	105/18678	0.00198948735473902	0.0144432826277106	0.0109107150500353	CTSD/CAPG/CD63/FLOT1/STOM	5	geneontology_Cellular_Component	0.0316455696202532
GO:0048770	GO:0048770	pigment granule	5/158	105/18678	0.00198948735473902	0.0144432826277106	0.0109107150500353	CTSD/CAPG/CD63/FLOT1/STOM	5	geneontology_Cellular_Component	0.0316455696202532
GO:0000421	GO:0000421	autophagosome membrane	3/158	30/18678	0.00203905166508856	0.0144432826277106	0.0109107150500353	SH3GLB1/WIPI1/WDFY3	3	geneontology_Cellular_Component	0.0189873417721519
GO:0062023	GO:0062023	collagen-containing extracellular matrix	10/158	399/18678	0.00214756398456146	0.0148007788125182	0.011180774087475	MMP9/COL17A1/ANXA1/TIMP1/CTSD/S100A9/SERPINB1/SLPI/MMP8/ORM1	10	geneontology_Cellular_Component	0.0632911392405063
GO:0005793	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	5/158	115/18678	0.00295630458150713	0.0198383596916926	0.0149862531417121	CD59/CD55/CA4/F5/CNIH4	5	geneontology_Cellular_Component	0.0316455696202532
GO:0005741	GO:0005741	mitochondrial outer membrane	6/158	168/18678	0.00308842928808205	0.0201935761143827	0.0152545900059114	ACSL1/ACSL4/SH3GLB1/ARG1/TSPO/MGST1	6	geneontology_Cellular_Component	0.0379746835443038
GO:0030139	GO:0030139	endocytic vesicle	8/158	289/18678	0.00325304216278203	0.0207381437877355	0.0156659662049766	PGLYRP1/FCGR1A/FCGR1B/LTF/FLOT2/DYSF/ANXA3/HP	8	geneontology_Cellular_Component	0.0506329113924051
GO:0005775	GO:0005775	vacuolar lumen	6/158	171/18678	0.00336983659870101	0.0209587398211892	0.0158326084098148	CTSD/GCA/ARG1/BPI/RNASE2/GYG1	6	geneontology_Cellular_Component	0.0379746835443038
